Country,Value
Albania,4.96
Andorra,13.31
Armenia,3.77
Austria,11.9
Azerbaijan,1.11
Belarus,14.69
Belgium,9.75
Bosnia and Herzegovina,4.42
Bulgaria,9.72
Croatia,10.63
Cyprus,8.88
Czech Republic,12.47
Denmark,9.21
Estonia,11.61
Finland,8.97
France,11.4
Georgia,5.32
Germany,10.94
Greece,7.35
Hungary,11.21
Iceland,6.32
Ireland,11.75
Israel,2.64
Italy,6.1
Kazakhstan,6.41
Kyrgyzstan,2.38
Latvia,10.21
Lithuania,14.3
Luxembourg,11.28
Malta,7.76
Monaco,
Montenegro,6.59
Netherlands,8.9
Norway,6.22
Poland,10.67
Portugal,10.3
Republic of Moldova,6.28
Romania,9.1
Russian Federation,11.2
San Marino,
Serbia,9.72
Slovakia,10.64
Slovenia,10.32
Spain,9.79
Sweden,7.4
Switzerland,9.66
Tajikistan,0.32
The former Yugoslav Republic of Macedonia,
Turkey,1.51
Turkmenistan,2.42
Ukraine,8.44
United Kingdom of Great Britain and Northern Ireland,9.65
Uzbekistan,2.54
